COUNTRY,COAL MINE
China,Guizhou Digua No. 2 Coal Mine
China,Guizhou Pu'an Xingfu Coal Mine
China,Guizhou Caoqing Coal Mine
China,Inner Mongolia Bayintaolegai Coal Mine
China,Inner Mongolia Bandongliang Coal Mine
China,Gansu Luochuan Coal Mine
China,Gansu Lucaotaizi Coal Mine
China,Hebei Xuzhuang Coal Mine
China,Shaanxi Lijiazhuo Coal Mine
China,Xiaolongtan Surface Coal Mine
China,Inner Mongolia Jungar Banner Chuanfa Coal Mine
China,Inner Mongolia Jungar Banner Xiliang Coal Mine
China,Inner Mongolia Xinyuan Coal Mine
China,Inner Mongolia Jungar Banner Gongjiata Coal Mine
China,Guizhou Sihai Coal Mine
China,Guizhou Zhezhuang Coal Mine Surface Project
China,Guizhou Jinxiang Coal Mine Surface Project
China,Guizhou Liuhuangpo Coal Mine Surface Project
USA,Atlas Anthracite Coal Mine
USA,Banks Bank Coal Mine
USA,Bell Corp Mine
USA,Big Mountain Anthracite 1 Pit
USA,Blue Ridge Coal Mine
USA,Brownsville Coal Mine
USA,Buck Run P-8 P-10 Mine
USA,Crystal Strip Mine
USA,E O J Strip Mine
USA,Eagle Hill Strip Mine
USA,Glen Lyon Operation
USA,Good Spring South Mine
USA,Greenwood Coal Mine
USA,Hazleton Shaft Coal Mine
USA,Hynoski Bros Shenandoah Strip Mine
USA,Jett 2 Stripping Mine
USA,K K Strip Coal Mine
USA,Kuperavage - Tuscarora Coal Mine
USA,Lattimer Division Coal Mine
USA,Locust Summit Strip Mine
USA,Logan Surface Mine
USA,Mahanoy City Stripping Mine
USA,Mid Port Strip Mine
USA,Morris Ridge Strip Mine
USA,Mountain Top Anthracite Mine
USA,Mustang Stripping Mine
USA,Park Mine Coal Mine
USA,Premium Fine Coal Mine
USA,Selkirk 2 Coal Mine
USA,Serill Strip Mine
USA,Sherman Mountain Coal Strip Mine
USA,Spring Mountain Strip Coal Mine
USA,Trevorton Strip Mine
USA,West End Coal Mine
USA,Zerbe 10 Coal Mine
Indonesia,Karyan Manunggal Coal Mine
Russia,Kolyvansky Coal Mine
Russia,Kolyvansky Coal Mine
Russia,Vostochny Coal Mine
Russia,Vostochny Coal Mine
Russia,Vostokugol-Dikson Coal Mine
United States,Mt. Carmel Coal Mine
United States,Continental Strip Coal Mine
United States,West Spring Energy Coal Mine
United States,Primrose Operation
United States,Wadesville P-33 Coal Mine
United States,Ellangowan Stripping Coal Mine
United States,Tamaqua Coal Mine
United States,Hazleton Shaft South Coal Mine
India,Damagoria
India,Kusmunda
India,Jampali
India,CHITRA EAST
India,LAKHIMATA
India,KAPASARA
India,SALANPUR
India,BHOWRAH(NORTH)
India,COLLIERY(ABGC)
India,AMALGAMATED DHANSAR. INOUSTRY.
India,COLLIERY
India,(NAKC)
India,COLLIERY
India,COLLY
India,BHURKUNDA�OC
India,KARMA
India,LAIYO
India,URIMARI
India,TAPIN
India,KARO SPL
India,KARO - I
India,KABRIBAD
India,PURNADIH
India,MAGADH
India,SASTI OC
India,JUNA KUNADA
India,"MUNGOLI NIRGUDA EXTN, DEEP"
India,WAGHODA
India,MAKARDHOKRA-III / DINESH
India,JHINGURDA
India,CHHATARPUR-I
China,Shuiquan Surface Coal Mine
China,Ruiguang Coal Mine
China,Hengbo Coal Mine
China,Xingheng Coal Mine
China,Mo'ergou Coal Mine
China,Yangbaoqu Coal Mine
China,Houwenjialiang Coal Mine
China,Chaokai Surface Coal Mine
China,Desheng No.2 Coal Mine
China,Desheng No. 3 Coal Mine
China,Dianshigou Surface Coal Mine
China,Gulianhe Surface Coal Mine
China,Haolailiang Caol Mine
China,Heshun Lvxin Coal Mine
China,Huagou Surface Coal Mine
China,Jiadong Coal Mine
China,Jiaxinde Coal Mine
China,Liulingou Coal Mine
China,Manlailiang Surface Mine
China,Maoergou Coal Mine
China,Naolinmiao Coal Mine No.1 Well
China,Piliqing Surface Coal Mine
China,Qinghua Surface Coal Mine
China,Rongheng Surface Mine
China,Ruide Coal Mine
China,Sunsangou Coal Mine
China,Tonghua Coal Mine
China,Xinxin Coal Mine
China,Hedong Baijialiang Coal Mine
China,Inner Mongolia Xilaifeng Coal Mine
China,Inner Mongolia Jungar Banner Sujiagou Coal Mine
